zip,lat,lon,city,state,precision
00501,40.92233,-72.63708,Holtsville,NY,coarse
00544,40.92233,-72.63708,Holtsville,NY,coarse
01001,42.14055,-72.78866,Agawam,MA,coarse
01002,42.36709,-72.46457,Amherst,MA,coarse
01003,42.36956,-72.63599,Amherst,MA,coarse
01004,42.38449,-72.51318,Amherst,MA,coarse
01005,42.32916,-72.13947,Barre,MA,coarse
01007,42.28027,-72.40206,Belchertown,MA,coarse
01008,42.17783,-72.95836,Blandford,MA,coarse
01009,42.20609,-72.34049,Bondsville,MA,coarse
01010,42.10858,-72.20448,Brimfield,MA,coarse
01011,42.29426,-72.95278,Chester,MA,coarse
01012,42.39227,-72.82561,Chesterfield,MA,coarse
01013,42.16149,-72.66734,Chicopee,MA,coarse
01014,42.17073,-72.60484,Chicopee,MA,coarse
01020,42.17749,-72.56256,Chicopee,MA,coarse
01021,42.17073,-72.60484,Chicopee,MA,coarse
01022,42.19339,-72.55436,Chicopee,MA,coarse
01026,42.42862,-72.90984,Cummington,MA,coarse
01027,42.36830,-72.76884,Easthampton,MA,coarse
01028,42.06201,-72.49874,East Longmeadow,MA,coarse
01029,42.19090,-73.05166,East Otis,MA,coarse
01030,42.18933,-72.79774,Feeding Hills,MA,coarse
01031,42.35255,-72.20572,Gilbertville,MA,coarse
01032,42.44384,-72.81945,Goshen,MA,coarse
01033,42.26228,-72.50409,Granby,MA,coarse
01034,42.11275,-72.95200,Granville,MA,coarse
01035,42.35680,-72.57661,Hadley,MA,coarse
01036,42.06761,-72.41751,Hampden,MA,coarse
01037,42.34786,-72.22525,Hardwick,MA,coarse
01038,42.38727,-72.64308,Hatfield,MA,coarse
01039,42.35641,-72.68213,Haydenville,MA,coarse
01040,42.19829,-72.64207,Holyoke,MA,coarse
01041,42.17073,-72.60484,Holyoke,MA,coarse
01050,42.31343,-72.90368,Huntington,MA,coarse
01053,42.35384,-72.70439,Leeds,MA,coarse
01054,42.47468,-72.46754,Leverett,MA,coarse
01056,42.17328,-72.62704,Ludlow,MA,coarse
01057,42.09532,-72.28206,Monson,MA,coarse
01059,42.36956,-72.63599,North Amherst,MA,coarse
01060,42.41515,-72.76927,Northampton,MA,coarse
01061,42.36956,-72.63599,Northampton,MA,coarse
01062,42.32884,-72.84523,Florence,MA,coarse
01063,42.31794,-72.64023,Northampton,MA,coarse
01066,42.40670,-72.63390,North Hatfield,MA,coarse
01068,42.34614,-72.05885,Oakham,MA,coarse
01069,42.17613,-72.31457,Palmer,MA,coarse
01070,42.44898,-72.95840,Plainfield,MA,coarse
01071,42.17743,-72.86456,Russell,MA,coarse
01072,42.47156,-72.44017,Shutesbury,MA,coarse
01073,42.23001,-72.72846,Southampton,MA,coarse
01074,42.37600,-72.14939,South Barre,MA,coarse
01075,42.24984,-72.58152,South Hadley,MA,coarse
01077,42.06664,-72.54121,Southwick,MA,coarse
01079,42.19289,-72.32957,Thorndike,MA,coarse
01080,42.17981,-72.51781,Three Rivers,MA,coarse
01081,42.06195,-72.21360,Wales,MA,coarse
01082,42.37747,-72.54855,Ware,MA,coarse
01083,42.20403,-72.19944,Warren,MA,coarse
01084,42.39030,-72.87086,West Chesterfield,MA,coarse
01085,42.14869,-72.50189,Westfield,MA,coarse
01086,42.17343,-72.84796,Westfield,MA,coarse
01088,42.39058,-72.64689,West Hatfield,MA,coarse
01089,42.12579,-72.64533,West Springfield,MA,coarse
01090,42.17073,-72.60484,West Springfield,MA,coarse
01092,42.20289,-72.22902,West Warren,MA,coarse
01093,42.44267,-72.65251,Whately,MA,coarse
01094,42.35820,-72.14085,Wheelwright,MA,coarse
01095,42.12597,-72.48999,Wilbraham,MA,coarse
01096,42.41307,-72.82165,Williamsburg,MA,coarse
01097,42.16174,-72.84591,Woronoco,MA,coarse
01098,42.40494,-72.89613,Worthington,MA,coarse
01101,42.17073,-72.60484,Springfield,MA,coarse
01102,42.17073,-72.60484,Springfield,MA,coarse
01103,42.10304,-72.59078,Springfield,MA,coarse
01104,42.12861,-72.56797,Springfield,MA,coarse
01105,42.09979,-72.57773,Springfield,MA,coarse
01106,42.04919,-72.56788,Longmeadow,MA,coarse
01107,42.12624,-72.58673,Springfield,MA,coarse
01108,42.08059,-72.55808,Springfield,MA,coarse
01109,42.11929,-72.54898,Springfield,MA,coarse
01111,42.17073,-72.60484,Springfield,MA,coarse
01114,42.17073,-72.60484,Springfield,MA,coarse
01115,42.10289,-72.59163,Springfield,MA,coarse
01116,42.17073,-72.60484,Longmeadow,MA,coarse
01118,42.09389,-72.52323,Springfield,MA,coarse
01119,42.12494,-72.52671,Springfield,MA,coarse
01128,42.09462,-72.48723,Springfield,MA,coarse
01129,42.12448,-72.48948,Springfield,MA,coarse
01133,42.17073,-72.60484,Springfield,MA,coarse
01138,42.17073,-72.60484,Springfield,MA,coarse
01139,42.17073,-72.60484,Springfield,MA,coarse
01144,42.10180,-72.59151,Springfield,MA,coarse
01151,42.15059,-72.51278,Indian Orchard,MA,coarse
01152,42.17073,-72.60484,Springfield,MA,coarse
01195,42.10000,-72.58000,Springfield Bmc,MA,coarse
01199,42.11994,-72.60498,Springfield,MA,coarse
